,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
0,1,2021-03-10 12:19:40,2021-03-10 12:24:21,HTL,16-17,11,männlich,3.0,3.0,5.0,3.0,4.0,egal,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,egal,sehr wichtig,gar nicht wichtig,nicht wichtig,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;ruhigere Arbeitsumgebung als zuhause;,,3.0,5.0,,HTL Spengergasse
1,2,2021-03-10 12:18:53,2021-03-10 12:24:32,HTL,16-17,11,männlich,3.0,5.0,5.0,1.0,5.0,egal,wichtig,wichtig,egal,gar nicht wichtig,nicht wichtig,gar nicht wichtig,wichtig,egal,gar nicht wichtig,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;,,4.0,5.0,,HTL Spengergasse
2,3,2021-03-10 12:21:53,2021-03-10 12:26:32,HTL,16-17,11,männlich,3.0,5.0,5.0,2.0,3.0,wichtig,egal,egal,wichtig,wichtig,gar nicht wichtig,egal,wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,2.0,,HTL Spengergasse
3,4,2021-03-10 12:19:37,2021-03-10 12:36:21,HTL,16-17,11,männlich,3.0,4.0,5.0,4.0,4.0,sehr wichtig,sehr wichtig,wichtig,wichtig,wichtig,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,egal,sehr wichtig,wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,2.0,,HTL Spengergasse
4,5,2021-03-10 12:49:29,2021-03-10 12:58:19,HTL,16-17,11,männlich,2.0,5.0,5.0,3.0,4.0,sehr wichtig,egal,wichtig,wichtig,egal,egal,egal,wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Zusammenarbeit mit Mitschüler/innen einfacher;,,4.0,5.0,"Bei Frage 7 war ich mir unsicher, weil ich öfters am Stand-PC teilnehme und seltener an meinem Laptop.",HTL Spengergasse
5,6,2021-03-10 12:50:11,2021-03-10 13:02:48,HTL,16-17,11,männlich,2.0,5.0,5.0,4.0,5.0,egal,egal,nicht wichtig,sehr wichtig,egal,nicht wichtig,wichtig,wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,2.0,,HTL Spengergasse
6,7,2021-03-10 12:59:39,2021-03-10 13:04:29,HTL,16-17,11,männlich,3.0,5.0,2.0,3.0,5.0,gar nicht wichtig,wichtig,egal,sehr wichtig,wichtig,sehr wichtig,gar nicht wichtig,wichtig,wichtig,gar nicht wichtig,sehr wichtig,nicht wichtig,nicht wichtig,"wenn man nicht mit Aufgaben bombardiert wird, wenn die Stunden kürzer als 50 min sind",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,4.0,,HTL Spengergasse
7,8,2021-03-10 12:55:48,2021-03-10 13:07:24,HTL,18-20,11,männlich,2.0,5.0,5.0,1.0,4.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,Kurz und bündige Mitteilug des neuen Stoffes. Zur Verfügung gestellte Unterlagen auf die man bei Zweifel zugreifen kann.,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,1.0,"Unterricht der Online und in der Schule abwechselnd stattfindet ist grauenhaft, hier fehlt die Routine. Komplett Online oder komplett ""Offline"" ist mir da lieber.",HTL Spengergasse
8,9,2021-03-10 13:03:37,2021-03-10 13:10:18,HTL,16-17,11,männlich,2.0,3.0,5.0,3.0,3.0,egal,wichtig,wichtig,egal,egal,nicht wichtig,gar nicht wichtig,wichtig,egal,wichtig,egal,egal,wichtig,Kameras an,direktes Gespräch mit Lehrkraft möglich;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,4.0,3.0,"Durch den Onlineunterricht hat man mehr Freizeit, was ich sehr gut finde",HTL Spengergasse
9,10,2021-03-10 13:17:31,2021-03-10 13:19:57,HTL,16-17,11,männlich,1.0,4.0,5.0,5.0,4.0,sehr wichtig,wichtig,egal,sehr wichtig,wichtig,wichtig,nicht wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,Mehr freizeit dah ich mir 3h fahrzeit über den tag verteilt erspare,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,4.0,2.0,Bei Frage 17. würde ich sagen wenn der Onlineunterricht gut ist ist es auf jeden fall eine gute alternative zum normalen Unterricht aber gerade ist das in den meisten Fächern nicht der fall,HTL Spengergasse
